comment,language,,1288
this legit best vlog everything smooth cuts are smooth they arent at surprise intro rlly smooth intro smooth originally made which even better,en,,21185
mean like srsly this better than other vlogs have million views,en,,
have pretty sick edits how hell do even have subs deserve more,en,,
aww yes lt,cy,,
try searching sumaguing cave sagada im not caving type of person was fooled by my friend was just short trip like walk park but loved reached intagrammable area,en,,
omgwowwwww wanna go there were there almost no tourist thats good right small place few people not like boracay amp similar places except palawan guess how much did cost this vid amazing amp amusing guys much enjoyed had me smile amp laugh whole vid time part amp trina baywatch sexy trina from thai or filipino family wanna meet blonde version of trina go around exploring also please help me find one,en,,
hahaha was crazy laughed hard didnt know what say after exp second there know was bit scary good thing ur guide stayed confident all throughout,en,,
if may say trina look beautiful coming out from caving,en,,
because of this im subscribing sfx made adventure even more intense did fantastic,en,,
survivor philippines trina amp pierre edition,it,,
amazing this spelunking should require proper equipment but guys did just like how we locals do thumbs up trina man she just slew rocks off,en,,
island hopping best,af,,
omg guys are amazingly crazy doing such adventures,en,,
love compliment your wife this vlog full of love,en,,
haha congrats on making through looked intense grew up province iquotm surprised they didnt tell there are snakes rats water floods guys did great must have been great experience,en,,
haha nice jungle adventure seems like went on setting of an quotescape from deserted islandquot movie,en,,
now was fun awesome video,en,,
got an amazing girl youre correct every guys should look kind of girl best of luck both take care your trips,en,,
go sambawan maripipi islands biliran will be blown away,tl,,
thats bakwitan cave also did your trek last november but was only up until main entrance coz felt kinda spooky hehehe kudos guys finishing journey only wanted instagram worthy photos hahaha islas de gigantes amazing had great memorable time btw also stayed at gigantes hideaway,en,,
have been enjoying your videos days now have be two of most entertaining travel vloggers on youtube also not gonna lie my halflifegeek self was tickled compared roots hanging cave ones game denjoy philippines,en,,
go banaue rice terraces,es,,
awesome caving experiemce visit batanes group of island highly recommend,en,,
have suggestion can change ur youtube channel name easy search just suggestion not big deal,en,,
love awesome video,af,,
good vlogging guys,tl,,
oh les chaussures descalades,fr,,
its great video,en,,
trina such trooper very impressed with her too pierre guys put happy world of vlogging happy,en,,
try go luzon like bagiuo city banaue rice terraces sagada vigan hundred islands,en,,
suggest going quotheaven on earth of philippinesquot will have enter barn then climb up lot of stairs enter dark quotcavequot on other end will end up completely white open space place on top of mountain look down will feel like youre cloud suggest wearing sunglasses white clothes not only because will make look like angels but also because heat will fry everything there too bright will feel overwhelmed seeing place dont worry they have fresh cow milk ice cream waiting back at bottom of mountain of stairs youll get what mean if get there place called garinfarm of san joaquin look up adventurers will love ive been there last enjoy bless your trips also entered more less intense caves with crystals funny rock formations would be different place,en,,
just discovered your channel watched yout videos am hooked definately love quotepisodequot feels on your vlog like have yo watch everything causr each video gets exciting subscribed will marathon your other vlogs tonight,en,,
dangerous cave adventures,fr,,
this vid was like crash course on being indianajones while still retaining cityslicker youps kept clicking on thumbsup icon but would only allow once,en,,
nice experienced alot very different from other tourist,en,,
next stop palawan coron el nido,es,,
awesome cave experience watched this from beach puerto vallarta,en,,
go siquijor really amazing,en,,
recomend siargao island guys,en,,
was absolutely breathtaking experience,en,,
dumaguete apo island swim with turtles,en,,
guys looks tired hehehe,en,,
great adventure guys caving tiring but awesome experience missing out our caving one of cave sagada on north physically tiring but very unforgettable,en,,
try batanes malapascua siargao bicol region,es,,
this video stressed me out guys are crazy adventurous,en,,
just thought was just regular cave tour but ended up extreme hehe once of best gigantes adventure far,en,,
maybe ought addhow not dress cavinglol,en,,
no more ph vlogs,sl,,
guys look tired probably caving was bit stressful,en,,
great video thank loving philippines,en,,
d glad see enjoyed caving experience wouldnt have been able do without proper clothing gear also not too man crocs left populated areas but keep watch out hitch hiking leeches occasional snake d,en,,
