videoId,tags
YCqSHIaeDN0,"['the food ranger', 'dinuguan', 'foreigner dinuguan', 'best dinuguan', 'homemade dinuguan', 'bagoong', 'foreigner tries bagoong', 'bangoong and mango', 'filipino street food', 'Philippines street food', 'pig blood', 'food review', 'best ever food review show', 'sonny side', 'pork organ stew', 'filipino fermented shrimp paste', 'fermented shrimp paste']"
2AxNd7OMtYM,"['the food ranger', 'filipino fiesta', 'philippines fiesta', 'bohol', 'bohol fiesta', 'how to part in the philippines', 'cebu city', 'cebu lechon', 'bohol lechon', 'eel soup', 'adobo', 'foreigner lechon', 'foreigner abodo', 'eating filipino food', 'philippines fiesta food', 'philippines province', 'bohol province', 'party in the philippines', 'filipino party', 'best ever food review show']"
ulPpthq47h8,"['the food ranger', 'jollibee review', 'foreigner tries jollibee', 'american tries jollibee', 'american jollibee review', 'jollibee secret menu', 'jollibee jeepney', 'eating in a jeepney', 'best ever food review show', 'foreigner eats jollibee in a jeepney', 'jollibee', 'jollibee double spicy chicken', 'jollibee spaghetti', 'jollibee rice', 'jollibee sundae', 'jollibee food review', 'white guy tries jollibee', 'douchebag tries jollibee and makes up thing about secret menu for extra clicks', 'sonny side']"
Yh4ykFMnI6I,"['cheno', 'gomez', 'goes', 'travel', 'entertainment', 'vlog', 'vlogger', 'day', 'in', 'the', 'life', 'sydney', 'canberra', 'australia', 'melbourne', 'tour', 'world', 'challenge', 'lifestyle', 'fashion', 'kicks', 'sneaker', 'sneakherhead', 'hype', 'hypebeast', 'minimal', 'adventure', 'explore', 'exploration', 'fame', 'famous', 'jollibee', 'australian', 'philippines', 'aussie', 'boy', 'first', 'time', 'foreigner', 'reaction', 'taste', 'test']"
EbfcJ7StMGw,
07xicLFWPPM,"['amazing barber skills 2018', 'best barber shop in the wolrd', 'foreigner having haircut philippines', 'best hair art design', 'best barber shop in palawan', 'best barber shop in the philippines', 'where to have a haircut in palawan', 'foreigners el nido 2018', 'foreigners coron 2018', 'nightlife in coron palawan 2018', 'foreigners el nido nightlife 2018', 'foreigner trying filipino haircut', 'best filipino barber', 'syrian vlogger philippines']"
dA73Ls8ND_E,"['Gigantes', 'filipino vlog', 'travel couple', 'Iloilo (Administrative Division)', 'Western Visayas (Administrative Division)', 'Carles (City\\/Town\\/Village)', 'gigantes island', 'philippines', 'filipino travel vlog', 'philippines vlog', 'travel philippines', 'best island in the philippines', 'HIDDEN GEM OF THE PHILIPPINES: GIGANTES ISLANDS Iloilo', 'gigantes island iloilo', 'travel vlog', 'lost', 'BAD IDEA EXTREME CAVING AFTER TYPHOON IN THE PHILIPPINES', 'caving', 'cave', 'what to do gigantes', 'caving philippines', 'pierretl']"
MAizx8ST3Bg,
9GOIDeOiNi8,
Cn0kYEMjbEc,"['the food ranger', 'dinuguan', 'foreigner dinuguan', 'best dinuguan', 'homemade dinuguan', 'bagoong', 'foreigner tries bagoong', 'bangoong and mango', 'filipino street food', 'Philippines street food', 'pig blood', 'food review', 'best ever food review show', 'sonny side', 'pork organ stew', 'filipino fermented shrimp paste', 'fermented shrimp paste']"
UK9u72UINQM,
